ID;title;authors_firstname;authors_surname;description
1;Pan Tadeusz;Adam;Mickiewicz;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam tellus sem, sodales eget nibh venenatis, dictum laoreet leo. Curabitur eleifend tellus eget tortor consectetur egestas. Nullam finibus pellentesque elit non lacinia. Integer venenatis pellentesque turpis, sit amet faucibus lectus.
2;Lalka;Bolesław;Prus;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam tellus sem, sodales eget nibh venenatis, dictum laoreet leo. Curabitur eleifend tellus eget tortor consectetur egestas. Nullam finibus pellentesque elit non lacinia. Integer venenatis pellentesque turpis, sit amet faucibus lectus.
3;Que Vadis;Henryk;Sienkiewicz ;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam tellus sem, sodales eget nibh venenatis, dictum laoreet leo. Curabitur eleifend tellus eget tortor consectetur egestas. Nullam finibus pellentesque elit non lacinia. Integer venenatis pellentesque turpis, sit amet faucibus lectus.
4;Przedwiośnie;Stefan;Żeromski;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam tellus sem, sodales eget nibh venenatis, dictum laoreet leo. Curabitur eleifend tellus eget tortor consectetur egestas. Nullam finibus pellentesque elit non lacinia. Integer venenatis pellentesque turpis, sit amet faucibus lectus.
5;Inny Świat;Gustaw;Herling-Grudziński;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam tellus sem, sodales eget nibh venenatis, dictum laoreet leo. Curabitur eleifend tellus eget tortor consectetur egestas. Nullam finibus pellentesque elit non lacinia. Integer venenatis pellentesque turpis, sit amet faucibus lectus.
6;;;;
7;;;;
8;Traktat o łuskaniu fasoli;Wiesław;Myśliwski;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam tellus sem, sodales eget nibh venenatis, dictum laoreet leo. Curabitur eleifend tellus eget tortor consectetur egestas. Nullam finibus pellentesque elit non lacinia. Integer venenatis pellentesque turpis, sit amet faucibus lectus.
9;;;;
10;;;;
